PARKID,NAME,AKA,CITY,STATE,-START-,\N,LEAGUE
PRO01,Adelaide Avenue Grounds,,Providence,RI,1875-06-12,1875-06-22,NA
PRO02,Messer Street Grounds,,Providence,RI,1878-05-01,1885-09-09,NL
RCK01,Agricultural Society Fair Grounds,,Rockford,IL,1871-05-05,1871-09-26,NA
RIC01,Richmond Fair Grounds,,Richmond,VA,1875-04-29,1875-05-01,NA
RIC02,Allens Pasture,,Richmond,VA,1884-08-05,1884-10-15,AA
ROC01,Culver Field I,,Rochester,NY,1890-04-28,1890-10-06,AA
ROC02,Culver Field II,,Rochester,NY,1898-08-27,1898-08-29,NL
ROC03,Ontario Beach Grounds,,Rochester,NY,1898-08-28,1898-08-28,NL
SAI01,St. George Cricket Grounds,,New York,NY,1886-04-22,1889-06-14,
SAN01,Qualcomm Stadium,San Diego/Jack Murphy Stadium,San Diego,CA,1969-04-08,2003-09-28,NL
SAN02,PETCO Park,,San Diego,CA,2004-04-08,\N,NL
SEA01,Sick's Stadium,,Seattle,WA,1969-04-11,1969-10-02,AL
SEA02,Kingdome,,Seattle,WA,1977-04-06,1999-06-27,AL
SEA03,Safeco Field,,Seattle,WA,1999-07-15,\N,AL
SFO01,Seals Stadium,,San Francisco,CA,1958-04-15,1959-09-20,NL
SFO02,Candlestick Park,3Com Park,San Francisco,CA,1960-04-12,1999-09-30,NL
SFO03,AT&T Park,Pacific Bell Park; SBC Park,San Francisco,CA,2000-04-11,\N,NL
SJU01,Estadio Hiram Bithorn,,San Juan,PR,2001-04-01,2010-06-30,NL
SPR01,Hampden Park Race Track,Springfield Track,Springfield,MA,1872-07-23,1875-05-14,NA
STL01,Red Stockings Base Ball Park,,St. Louis,MO,1875-05-04,1875-07-04,NA
STL02,Grand Avenue Park,,St. Louis,MO,1875-05-06,1877-10-06,
STL03,Sportsman's Park I,,St. Louis,MO,1882-05-02,1892-10-13,
STL04,Union Grounds,,St. Louis,MO,1884-04-20,1886-09-23,
STL05,Robison Field,,St. Louis,MO,1893-04-27,1920-06-06,NL
STL06,Sportsman's Park II,,St. Louis,MO,1902-04-23,1908-10-06,AL
STL07,Sportsman's Park III,Busch Stadium I,St. Louis,MO,1909-04-14,1966-05-08,
STL08,Handlan's Park,Federal League Park,St. Louis,MO,1914-04-16,1915-10-03,FL
STL09,Busch Stadium II,,St. Louis,MO,1966-05-12,2005-10-02,NL
STL10,Busch Stadium III,,St. Louis,MO,2006-04-10,\N,NL
STP01,Tropicana Field,,St. Petersburg,FL,1998-03-31,\N,AL
SYD01,Sydney Cricket Ground,,Sydney,AUS,2014-03-22,\N,"ARI&LAN:2014"
SYR01,Star Park I,Newell Park,Syracuse,NY,1879-05-28,1879-09-10,NL
SYR02,Star Park II,,Syracuse,NY,1890-04-28,1890-10-06,AA
SYR03,Iron Pier,,Syracuse,NY,1890-08-03,1890-08-03,AA
THR01,Three Rivers Park,,Three Rivers,NY,1890-05-18,1890-07-20,AA
TOK01,Tokyo Dome,,Tokyo,JAP,2000-03-29,2008-03-26,
TOL01,League Park,,Toledo,OH,1884-05-14,1884-09-23,AA
TOL02,Tri-State Fair Grounds,,Toledo,OH,1884-09-13,1884-09-13,AA
TOL03,Speranza Park,,Toledo,OH,1890-05-01,1890-10-02,AA
TOL04,Armory Park,,Toledo,OH,1903-06-28,1903-08-16,AL
TOR01,Exhibition Stadium,,Toronto,ONT,1977-04-07,1989-05-28,AL
TOR02,Rogers Centre,Skydome,Toronto,ONT,1989-06-05,\N,AL
TRO01,Haymakers' Grounds,,Troy,NY,1871-05-09,1881-09-30,
TRO02,Putnam Grounds,,Troy,NY,1879-05-28,1882-05-30,NL
WAR01,Rocky Point Park,,Warwick,RI,1903-09-06,1903-09-06,NL
WAS01,Olympic Grounds,,Washington,DC,1871-05-04,1875-06-08,NA
WAS02,National Grounds,,Washington,DC,1872-04-20,1872-05-25,NA
WAS03,Capitol Grounds,,Washington,DC,1884-04-18,1884-09-25,UA
WAS04,Athletic Park,,Washington,DC,1884-05-01,1884-08-05,AA
WAS05,Swampoodle Grounds,,Washington,DC,1886-04-29,1889-09-21,NL
WAS06,Boundary Field,,Washington,DC,1891-04-13,1899-10-14,
WAS07,American League Park I,,Washington,DC,1901-04-29,1903-09-29,AL
WAS08,American League Park II,,Washington,DC,1904-04-14,1910-10-06,AL
WAS09,Griffith Stadium,,Washington,DC,1911-04-12,1961-09-21,AL
WAS10,Robert F. Kennedy Stadium,D.C. Stadium,Washington,DC,1962-04-09,2007-09-23,
WAS11,Nationals Park,,Washington,DC,2008-03-30,\N,NL
WAT01,Troy Ball Club Grounds,,Watervliet,NY,1882-05-20,1882-08-26,NL
WAV01,Waverly Fairgrounds,,Waverly,NJ,1873-04-28,1873-07-23,NA
WEE01,Monitor Grounds,,Weehawken,NJ,1887-09-11,1887-09-11,AA
WHE01,Island Grounds,,Wheeling,WV,1890-09-22,1890-09-22,NL
WIL01,Union Street Park,,Wilmington,DE,1884-09-02,1884-09-15,UA
WNY01,West New York Field Club Grounds,,West New York,NJ,1898-09-11,1899-09-17,NL
WOR01,Agricultural County Fair Grounds I,,Worcester,MA,1880-05-01,1882-09-29,NL
WOR02,Agricultural County Fair Grounds II,,Worcester,MA,1887-08-17,1887-08-17,NL
WOR03,Worcester Driving Park Grounds,,Worcester,MA,1874-10-30,1874-10-30,NA
