lNames	lVal
MIL17	MIL	6.42667983644243e-05
MIL18	MIL	1.43182429636015e-13
MIL19	MIL	7.86294483454424e-20
MIL20	MIL	0.0373099508889321
MIN1	MIN	10944.0428479516
MIN2	MIN	0.287030466766142
MIN3	MIN	42.3156823229156
MIN4	MIN	159.461394270494
MIN5	MIN	-324.466539609247
MIN6	MIN	1611.58414219182
MIN7	MIN	0.0236871919661971
MIN8	MIN	8.21818513008768
MIN9	MIN	19.4786175704554
MIN10	MIN	24.0696883223537
MIN11	MIN	6.79086034755048
MIN12	MIN	12.1175387600079
MIN13	MIN	5.14903006601704
MIN14	MIN	8.18648416365854
MIN15	MIN	-13.480296681196
MIN16	MIN	1.74239658743001e-11
MIN17	MIN	5.56356395289556e-32
MIN18	MIN	3.05337738027976e-07
MIN19	MIN	6.75678062687946e-16
MIN20	MIN	1.08317620228549e-38
MON1	MON	2756.50571986177
MON2	MON	0.164732190114068
MON3	MON	30.9733092487554
MON4	MON	89.1367525408156
MON5	MON	-106.881269357374
MON6	MON	3718.13925862431
MON7	MON	0.0527386176545904
MON8	MON	15.3689432486346
MON9	MON	44.4657775992088
MON10	MON	43.2892833103865
MON11	MON	0.741366992499808
MON12	MON	3.12355911929613
MON13	MON	2.01531808320699
MON14	MON	2.00461472515442
MON15	MON	-2.46900066677079
MON16	MON	0.459004666142146
MON17	MON	0.00194707304005912
MON18	MON	0.0446917118403246
MON19	MON	0.0458308669516928
MON20	MON	0.0140613229947481
NYA1	NYA	21198.8698643897
NYA2	NYA	0.351204929323296
NYA3	NYA	9.66015649115205
NYA4	NYA	64.2584891945636
NYA5	NYA	43.9760759583171
NYA6	NYA	3796.77015644797
NYA7	NYA	0.0245366239111308
NYA8	NYA	7.14508515809906
NYA9	NYA	38.8021848541968
NYA10	NYA	5.25697443615526
NYA11	NYA	5.58339562071941
NYA12	NYA	14.3134984908814
NYA13	NYA	1.35200018997704
NYA14	NYA	1.65605337524218
NYA15	NYA	8.365282443808
NYA16	NYA	2.87835957073249e-08
NYA17	NYA	3.2794135250963e-43
NYA18	NYA	0.17661465222527
NYA19	NYA	0.0979566899069757
NYA20	NYA	1.55305403242097e-16
NYN1	NYN	-6658.59777010832
NYN2	NYN	0.323472630109837
NYN3	NYN	20.4102546161501
NYN4	NYN	317.380531611471
NYN5	NYN	162.491001976117
NYN6	NYN	2111.16760950274
NYN7	NYN	0.0247909761527594
NYN8	NYN	9.6037429811
NYN9	NYN	30.2872118175908
NYN10	NYN	12.5185403610412
NYN11	NYN	-3.15398821966423
NYN12	NYN	13.0479989217299
NYN13	NYN	2.12523957131268
NYN14	NYN	10.4790277006329
NYN15	NYN	12.9800278059417
NYN16	NYN	0.00164990529882918
NYN17	NYN	1.60965889011023e-36
NYN18	NYN	0.0337672930524062
NYN19	NYN	1.16150509504202e-24
NYN20	NYN	3.51562199463548e-36
OAK1	OAK	17009.5067442671
OAK2	OAK	0.0523394803810265
OAK3	OAK	41.283075608312
OAK4	OAK	211.517098644047
OAK5	OAK	-394.501268464044
OAK6	OAK	4270.615256473
OAK7	OAK	0.0278757498224577
OAK8	OAK	10.0748326611396
OAK9	OAK	29.3610225728004
OAK10	OAK	64.9763076174796
OAK11	OAK	3.98291714958065
OAK12	OAK	1.87759901399531
OAK13	OAK	4.09764380182195
OAK14	OAK	7.2040099461656
OAK15	OAK	-6.07146332146945
OAK16	OAK	7.23924835221535e-05
OAK17	OAK	0.0606914114997375
OAK18	OAK	4.46946253353306e-05
OAK19	OAK	1.06097505467766e-12
OAK20	OAK	1.72420282836735e-09
PHI1	PHI	-101.868569849545
PHI2	PHI	0.220293213931962
PHI3	PHI	36.788274760384
PHI4	PHI	345.456833819145
PHI5	PHI	-265.568134547589
PHI6	PHI	2242.55774583007
PHI7	PHI	0.0235672518676656
PHI8	PHI	7.71207820869468
PHI9	PHI	25.9846279801168
PHI10	PHI	23.0393341950132
PHI11	PHI	-0.0454251713423943
PHI12	PHI	9.34742901586268
PHI13	PHI	4.77021546784996
PHI14	PHI	13.2946615238627
PHI15	PHI	-11.5267278255407
PHI16	PHI	0.963775542333696
PHI17	PHI	3.89419978521373e-20
PHI18	PHI	2.05264203920885e-06
PHI19	PHI	7.32109734268495e-38
PHI20	PHI	2.60362241406209e-29
PIT1	PIT	4170.48895830538
PIT2	PIT	0.200748038996917
PIT3	PIT	53.4473610040148
PIT4	PIT	183.59576910824
PIT5	PIT	4.93103883014425
PIT6	PIT	2104.24652218471
PIT7	PIT	0.0283638325517743
PIT8	PIT	11.6932857548356
PIT9	PIT	31.0071457667427
PIT10	PIT	64.2171446794638
PIT11	PIT	1.98193933759026
PIT12	PIT	7.07760626602486
PIT13	PIT	4.5707735297508
