Game_Date	Day_of_Week	Home_Team	Day_or_Night	Home_Game_Number	Attendance	Prior_Attendance	Prior_Wins
2013-04-12	Fri	CLE	N	3	11864	10518	85
2013-04-12	Fri	KCA	N	4	13049	14039	89
2013-04-12	Fri	MIN	N	4	23735	31400	70
2013-04-12	Fri	ARI	N	7	29520	18110	64
2013-04-12	Fri	CHN	D	4	30996	38136	73
2013-04-12	Fri	MIA	N	4	17923	34232	77
2013-04-13	Sat	BOS	D	4	33039	38108	71
2013-04-13	Sat	CLE	D	4	11422	9473	85
2013-04-13	Sat	KCA	N	5	21960	13851	89
2013-04-13	Sat	MIN	D	5	28804	35854	70
2013-04-13	Sat	ARI	N	8	37214	27761	64
2013-04-13	Sat	CHN	D	5	34778	37265	73
2013-04-13	Sat	MIA	N	5	20037	24544	77
2013-04-13	Sat	NYA	D	5	41851	40194	84
2013-04-13	Sat	OAK	D	6	35067	10670	88
2013-04-13	Sat	SEA	N	6	23506	12942	87
2013-04-13	Sat	PIT	N	5	25118	25218	88
2013-04-13	Sat	SDN	N	5	29523	18652	77
2013-04-13	Sat	SLN	D	5	44696	35907	90
2013-04-13	Sat	WAS	D	8	41992	18045	96
2013-04-14	Sun	NYA	N	6	34154	36831	84
2013-04-14	Sun	OAK	D	7	20755	12390	88
2013-04-14	Sun	SEA	D	7	17015	19947	87
2013-04-14	Sun	PIT	D	6	19239	30437	88
2013-04-14	Sun	SDN	D	6	21337	16091	77
2013-04-14	Sun	SLN	D	6	42645	40049	90
2013-04-14	Sun	WAS	D	9	39389	24640	96
2013-04-14	Sun	BOS	D	5	35198	38229	71
2013-04-14	Sun	CLE	D	5	11682	9072	85
2013-04-14	Sun	KCA	D	6	29057	14083	89
2013-04-14	Sun	ARI	D	9	32313	30188	64
2013-04-14	Sun	CHN	D	6	33326	34044	73
2013-04-14	Sun	MIA	D	6	21412	25723	77
2013-04-15	Mon	BOS	D	6	37449	37967	71
2013-04-15	Mon	MIN	N	6	23535	32093	70
2013-04-15	Mon	CIN	N	7	17387	19051	76
2013-04-15	Mon	LAN	N	7	52136	26376	94
2013-04-15	Mon	MIA	N	7	15933	23168	77
2013-04-15	Mon	OAK	N	8	10689	14340	88
2013-04-15	Mon	TOR	N	7	15755	15331	83
2013-04-15	Mon	PIT	N	7	10539	10484	88
